contig_1	66725	144047	0
contig_10	86247	186707	0
contig_11	72202	155847	0
contig_13	48867	102475	0
contig_14	14288	31630	0
contig_16	65218	147618	0
contig_17	52067	114763	0
contig_19	9138	17899	0
contig_2	36810	78244	0
contig_20	24759	57891	0
contig_21	45336	98773	0
contig_22	48904	105799	0
contig_24	45401	93267	0
contig_25	123687	271728	0
contig_26	15993	31903	0
contig_27	20100	41648	0
contig_29	17383	37422	0
contig_3	173780	369839	0
contig_31	5220	11870	0
contig_32	31314	52918	0
contig_34	7057	14399	0
contig_35	7353	16991	0
contig_37	7498	16567	0
contig_40	6549	15139	0
contig_41	26548	52381	0
contig_45	18168	39900	0
contig_46	8148	16743	0
contig_48	32571	60206	0
contig_5	79058	165268	0
contig_51	30655	67385	0
contig_52	13327	28561	0
contig_54	4709	9969	0
contig_55	15205	35483	0
contig_56	6277	14305	0
contig_57	24232	48343	0
contig_58	16880	36283	0
contig_7	180939	373375	0
contig_8	45014	95645	0
contig_9	96180	190347	0
*	0	0	268024
