gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
16.0	c_000000000001	25204	26236			Secondary metabolites biosynthesis, transport and catabolism	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family (PhyH) (PDB:2A1X)		Phytanoyl-CoA dioxygenase (PhyH)											Q	COG5285		CyCOG_60003487									gene
24.0	c_000000000001	31958	32852			Cell wall/membrane/envelope biogenesis	dTDP-4-dehydrorhamnose reductase (RfbD) (PDB:1KBZ)		dTDP-4-dehydrorhamnose reductase	KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09109 Metabolism of terpenoids and polyketides>>>00523 Polyketide sugar unit biosynthesis [PATH:ko00523]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09110 Biosynthesis of other secondary metabolites>>>00521 Streptomycin biosynthesis [PATH:ko00521]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.133  dTDP-4-dehydrorhamnose reductase	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	dTDP-L-rhamnose biosynthesis	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]							M	COG1091		CyCOG_60001694	ko00001!!!ko00001!!!ko00001!!!ko01000	M00793	M00793	K00067					gene
25.0	c_000000000001	33413	34214			Translation, ribosomal structure and biogenesis	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity) (RsmA) (PDB:1QYR)	16S rRNA modification												J	COG0030	COG0030										gene
28.0	c_000000000001	36568	37222			Carbohydrate transport and metabolism	ABC-type polysaccharide/polyol phosphate transport system, ATPase component (TagH) (PDB:6JBH)		ABC-2 type transport system ATP-binding protein	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Enzymes>>>7. Translocases>>>7.6  Catalysing the translocation of other compounds>>>7.6.2  Linked to the hydrolysis of a nucleoside triphosphate>>>7.6.2.12  ABC-type capsular-polysaccharide transporter!!!Transporters>>>ABC transporters, prokaryotic type>>>ABC-2 type and other transporters>>>Capsular polysaccharide transporter			capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12]							G	COG1134		CyCOG_60000012	ko00001!!!ko01000!!!ko02000			K09689					gene
29.0	c_000000000001	37450	38563			Cell wall/membrane/envelope biogenesis	Capsule polysaccharide export protein KpsE/RkpR (KpsE)		capsular polysaccharide transport system permease protein	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>ABC-2 type and other transporters>>>Capsular polysaccharide transporter			capsular polysaccharide transport system permease protein							M	COG3524		CyCOG_60003105	ko00001!!!ko02000			K10107					gene
34.0	c_000000000001	44112	44820			Coenzyme transport and metabolism!!!Cell cycle control, cell division, chromosome partitioning	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)!!!Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB (EnvC)	Ubiquinone biosynthesis												H!!!D	COG2227!!!COG4942	COG2227!!!COG4942										gene
35.0	c_000000000001	44968	46186			Cell cycle control, cell division, chromosome partitioning!!!Coenzyme transport and metabolism	Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)		Iron-sulfur cluster-binding domain-containing protein											D!!!H	COG0535		CyCOG_60016598									gene
46.0	c_000000000001	60788	61823			Secondary metabolites biosynthesis, transport and catabolism	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family (PhyH) (PDB:2A1X)		Phytanoyl-CoA dioxygenase (PhyH)											Q	COG5285		CyCOG_60003487									gene
47.0	c_000000000001	62058	63663			General function prediction only	Radical SAM superfamily enzyme YgiQ, UPF0313 family (YgiQ) (PDB:6FD2)		Radical SAM superfamily enzyme YgiQ, UPF0313 family	KEGG Orthology (KO)>>>09100 Metabolism>>>09110 Biosynthesis of other secondary metabolites>>>00332 Carbapenem biosynthesis [PATH:ko00332]!!!Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.-			hopanoid C-2 methylase [EC:2.1.1.-]							R	COG1032		CyCOG_60002392	ko00001!!!ko01000			K22705					gene
48.0	c_000000000001	63918	64704			Lipid transport and metabolism	Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily (ERG3) (PDB:4ZR0)		hypothetical protein	KEGG Orthology (KO)>>>09100 Metabolism>>>09103 Lipid metabolism>>>00100 Steroid biosynthesis [PATH:ko00100]!!!Enzymes>>>1. Oxidoreductases>>>1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen>>>1.14.19  With oxidation of a pair of donors resulting in the reduction of O2 to two molecules of water>>>1.14.19.20  Delta7-sterol 5(6)-desaturase	Pathway modules; Lipid metabolism; Sterol biosynthesis!!!Pathway modules; Lipid metabolism; Sterol biosynthesis!!!Pathway modules; Lipid metabolism; Sterol biosynthesis	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol!!!Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol!!!Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	Delta7-sterol 5-desaturase [EC:1.14.19.20]							I	COG3000		CyCOG_60007645	ko00001!!!ko01000	M00101!!!M00102!!!M00917	M00101!!!M00102!!!M00917	K00227					gene
