gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
1	c_000000000001	5828	6584			Lipid transport and metabolism	Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z)			KEGG Orthology (KO)>>>09100 Metabolism>>>09103 Lipid metabolism>>>00564 Glycerophospholipid metabolism [PATH:ko00564]!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.4  Phosphoric-diester hydrolases>>>3.1.4.46  glycerophosphodiester phosphodiesterase			glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]							I	COG0584			ko00001!!!ko01000			K01126					gene
1.1	c_000000000001	6585	6687																													intergenic
2	c_000000000001	6688	8125			Defense mechanisms	Na+-driven multidrug efflux pump, DinF/NorM/MATE family (NorM) (PDB:3VVN) (PUBMED:29915058)			Transporters>>>Solute carrier family (SLC)>>>SLC47: Multidrug and Toxin Extrusion (MATE) family			multidrug resistance protein, MATE family							V	COG0534			ko02000			K03327					gene
2.1	c_000000000001	8126	9566																													intergenic
4	c_000000000001	9567	10527			Transcription	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)													K	COG2207											gene
4.1	c_000000000001	10528	10602																													intergenic
5	c_000000000001	10603	11200			Signal transduction mechanisms	Protein-tyrosine-phosphatase (Wzb) (PDB:4D74) (PUBMED:26641313)		protein tyrosine phosphatase	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.3  Phosphoric-monoester hydrolases>>>3.1.3.48  protein-tyrosine-phosphatase			low molecular weight protein-tyrosine phosphatase [EC:3.1.3.48]							T	COG0394		CyCOG_60000422	ko00001!!!ko01000			K25307					gene
5.1	c_000000000001	11201	11202																													intergenic
6	c_000000000001	11203	12058			Carbohydrate transport and metabolism	Fructosamine-3-kinase (FN3K) (PDB:3F7W)		Fructosamine-3-kinase	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.1  Phosphotransferases with an alcohol group as acceptor>>>2.7.1.172  protein-ribulosamine 3-kinase			protein-ribulosamine 3-kinase [EC:2.7.1.172]							G	COG3001		CyCOG_60000480	ko00001!!!ko01000			K15523					gene
6.1	c_000000000001	12059	12269																													intergenic
