gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
0	c_000000000001	1	394			General function prediction only!!!Cell motility!!!Extracellular structures	Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)!!!Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)		Tetratricopeptide repeat-containing protein											R!!!N!!!W	COG0457!!!COG3063		CyCOG_60001259									gene
0.1	c_000000000001	395	450																													intergenic
1	c_000000000001	451	1042			General function prediction only	Predicted SAM-depedendent methyltransferase		hypothetical protein											R	COG4627		CyCOG_60003283									gene
2	c_000000000001	1038	1452			General function prediction only!!!Cell wall/membrane/envelope biogenesis!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)!!!ADP-heptose:LPS heptosyltransferase (RfaF) (PDB:1PSW)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)		hypothetical protein											R!!!M!!!U!!!W	COG0457!!!COG0859!!!COG5010		CyCOG_60002203									gene
2.1	c_000000000001	1453	1693																													intergenic
3	c_000000000001	1694	1868						hypothetical protein														CyCOG_60002652									gene
3.1	c_000000000001	1869	2481																													intergenic
4	c_000000000001	2482	2686						hypothetical protein														CyCOG_60002347									gene
4.1	c_000000000001	2687	3041																													intergenic
5	c_000000000001	3042	3333						hypothetical protein														CyCOG_60002419									gene
5.1	c_000000000001	3334	3378																													intergenic
6	c_000000000001	3379	3742						Uncharacterized membrane protein YhaH, DUF805 family														CyCOG_60002356									gene
6.1	c_000000000001	3743	3821																													intergenic
7	c_000000000001	3822	4032						hypothetical protein														CyCOG_60002517									gene
7.1	c_000000000001	4033	4167																													intergenic
8	c_000000000001	4168	6094			General function prediction only	ATPase components of ABC transporters with duplicated ATPase domains (Uup) (PDB:5ZXD)		ATP-binding cassette, subfamily F, uup	Transporters>>>ABC transporters, eukaryotic type>>>Other subfamilies>>>Other ABC transporters			ABC transport system ATP-binding/permease protein							R	COG0488		CyCOG_60001615	ko02000			K15738					gene
8.1	c_000000000001	6095	6688																													intergenic
9	c_000000000001	6689	6857						hypothetical protein														CyCOG_60001402									gene
9.1	c_000000000001	6858	6881																													intergenic
10	c_000000000001	6882	7068						hypothetical protein														CyCOG_60002736									gene
10.1	c_000000000001	7069	7197																													intergenic
11	c_000000000001	7198	7405						hypothetical protein														CyCOG_60002006									gene
11.1	c_000000000001	7406	7811																													intergenic
12	c_000000000001	7812	8136						hypothetical protein														CyCOG_60001356									gene
12.1	c_000000000001	8137	8181																													intergenic
13	c_000000000001	8182	8377						hypothetical protein														CyCOG_60001440									gene
13.1	c_000000000001	8378	8942																													intergenic
14	c_000000000001	8943	9102						hypothetical protein														CyCOG_60002974									gene
14.1	c_000000000001	9103	9350																													intergenic
15	c_000000000001	9351	9552						hypothetical protein														CyCOG_60000027									gene
15.1	c_000000000001	9553	9895																													intergenic
16	c_000000000001	9896	10466			General function prediction only	Uncharacterized OsmC-related protein (YhfA) (PDB:1LQL)		hypothetical protein											R	COG1765		CyCOG_60000034									gene
16.1	c_000000000001	10467	10556																													intergenic
17	c_000000000001	10557	11232						Protein of unknown function (DUF3386)														CyCOG_60001074									gene
17.1	c_000000000001	11233	11546																													intergenic
18	c_000000000001	11547	11826						hypothetical protein														CyCOG_60001450									gene
18.1	c_000000000001	11827	12021																													intergenic
19	c_000000000001	12022	12130						hypothetical protein														CyCOG_60000252									gene
19.1	c_000000000001	12131	12258																													intergenic
20	c_000000000001	12259	12406						hypothetical protein														CyCOG_60000059									gene
20.1	c_000000000001	12407	12607																													intergenic
21	c_000000000001	12608	12803						hypothetical protein														CyCOG_60002515									gene
21.1	c_000000000001	12804	12870																													intergenic
22	c_000000000001	12871	13243						hypothetical protein														CyCOG_60001314									gene
22.1	c_000000000001	13244	13443																													intergenic
23	c_000000000001	13444	13813			General function prediction only	Uncharacterized OsmC-related protein (YhfA) (PDB:1LQL)		hypothetical protein	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99975 Protein processing			putative redox protein							R	COG1765		CyCOG_60000034	ko00001			K07397					gene
23.1	c_000000000001	13814	13839																													intergenic
24	c_000000000001	13840	14242			Function unknown	Uncharacterized membrane protein YphA, DoxX/SURF4 family (DoxX)		Uncharacterized membrane protein YphA, DoxX/SURF4 family											S	COG2259		CyCOG_60001431									gene
24.1	c_000000000001	14243	14691																													intergenic
25	c_000000000001	14692	14941						hypothetical protein														CyCOG_60001254									gene
25.1	c_000000000001	14942	15181																													intergenic
26	c_000000000001	15182	15944			Signal transduction mechanisms	GAF domain (GAF)		GAF domain-containing protein											T	COG2203		CyCOG_60001375									gene
26.1	c_000000000001	15945	16041																													intergenic
27	c_000000000001	16042	16909			Carbohydrate transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)		EamA-like transporter family protein											G!!!E!!!R	COG0697		CyCOG_60001371									gene
28	c_000000000001	16905	17151						hypothetical protein														CyCOG_60002440									gene
28.1	c_000000000001	17152	17197																													intergenic
29	c_000000000001	17198	17621						hypothetical protein														CyCOG_60002459									gene
29.1	c_000000000001	17622	17734																													intergenic
30	c_000000000001	17735	18044						hypothetical protein														CyCOG_60001351									gene
30.1	c_000000000001	18045	18138																													intergenic
31	c_000000000001	18139	19549			Cell wall/membrane/envelope biogenesis	UDP-N-acetylmuramoylalanine-D-glutamate ligase (MurD) (PDB:1E0D)	Mureine biosynthesis	UDP-N-acetylmuramoylalanine--D-glutamate ligase	KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00470 D-Amino acid metabolism [PATH:ko00470]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00550 Peptidoglycan biosynthesis [PATH:ko00550]!!!Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.2  Acid-D-amino-acid ligases (peptide synthases)>>>6.3.2.9  UDP-N-acetylmuramoyl-L-alanine---D-glutamate ligase!!!Peptidoglycan biosynthesis and degradation proteins>>>Precursor biosynthesis>>>Amino acid ligase			UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]							M	COG0771	COG0771	CyCOG_60000741	ko00001!!!ko00001!!!ko01000!!!ko01011			K01925					gene
31.1	c_000000000001	19550	19840																													intergenic
32	c_000000000001	19841	19988						hypothetical protein														CyCOG_60002612									gene
32.1	c_000000000001	19989	20193																													intergenic
33	c_000000000001	20194	20983			General function prediction only	RNA-binding protein YlmH, contains S4-like domain (YlmH)		photosystem II S4 domain protein											R	COG2302		CyCOG_60001083									gene
33.1	c_000000000001	20984	21136																													intergenic
34	c_000000000001	21137	21701						hypothetical protein														CyCOG_60001144									gene
34.1	c_000000000001	21702	21804																													intergenic
35	c_000000000001	21805	23392			Coenzyme transport and metabolism	Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	Serine biosynthesis	D-3-phosphoglycerate dehydrogenase	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00680 Methane metabolism [PATH:ko00680]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00260 Glycine, serine and threonine metabolism [PATH:ko00260]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00270 Cysteine and methionine metabolism [PATH:ko00270]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.95  phosphoglycerate dehydrogenase!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.399  2-oxoglutarate reductase!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of other body fluids (saliva and urine)	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	Serine biosynthesis, glycerate-3P => serine	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]							H	COG0111	COG0111	CyCOG_60001006	ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko01000!!!ko04147	M00020	M00020	K00058					gene
36	c_000000000001	23393	24329			Translation, ribosomal structure and biogenesis	Ribosomal protein L11 methylase PrmA (PrmA) (PDB:3GRZ)		[LSU ribosomal protein L11P]-lysine N-methyltransferase	Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.-!!!Ribosome biogenesis>>>Prokaryotic type>>>ribosomal protein modification factors			ribosomal protein L11 methyltransferase [EC:2.1.1.-]							J	COG2264		CyCOG_60001020	ko01000!!!ko03009			K02687					gene
36.1	c_000000000001	24330	24365																													intergenic
37	c_000000000001	24366	24666			Energy production and conversion	Ferredoxin (Fdx) (PDB:1KRH)		ferredoxin	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]!!!Photosynthesis proteins>>>Photosystem and electron transport system>>>Photosynthetic electron transport			ferredoxin							C	COG0633		CyCOG_60000024	ko00001!!!ko00194			K02639					gene
37.1	c_000000000001	24667	24778																													intergenic
38	c_000000000001	24779	25169						hypothetical protein														CyCOG_60001153									gene
38.1	c_000000000001	25170	25291																													intergenic
39	c_000000000001	25292	25484						hypothetical protein														CyCOG_60001873									gene
39.1	c_000000000001	25485	25556																													intergenic
40	c_000000000001	25557	26106			Function unknown	Uncharacterized conserved protein YjbI, contains pentapeptide repeats (YjbI) (PDB:2BM4)		Pentapeptide repeat-containing protein											S	COG1357		CyCOG_60001228									gene
40.1	c_000000000001	26107	26197																													intergenic
41	c_000000000001	26198	27143			Translation, ribosomal structure and biogenesis	Ribonuclease BN, tRNA processing enzyme (ElaC) (PDB:1WW1)		RNAse Z	Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.26  Endoribonucleases producing 5'-phosphomonoesters>>>3.1.26.11  tRNase Z!!!Transfer RNA biogenesis>>>Eukaryotic type>>>3'processing and CCA adding factors>>>3'processing factors!!!Transfer RNA biogenesis>>>Prokaryotic type>>>3'processing and CCA adding factors>>>3'processing factors			ribonuclease Z [EC:3.1.26.11]							J	COG1234		CyCOG_60001033	ko01000!!!ko03016!!!ko03016			K00784					gene
41.1	c_000000000001	27144	27239																													intergenic
42	c_000000000001	27240	28458			Cell wall/membrane/envelope biogenesis	Peptidoglycan hydrolase (amidase) enhancer domain SpoIID (SpoIID)		SpoIID/LytB domain protein	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09193 Unclassified: signaling and cellular processes>>>99978 Cell growth			stage II sporulation protein D							M	COG2385		CyCOG_60000016	ko00001			K06381					gene
42.1	c_000000000001	28459	28506																													intergenic
43	c_000000000001	28507	29452			Translation, ribosomal structure and biogenesis	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA (TruB) (PDB:1K8W)	tRNA modification	tRNA pseudouridine synthase B	Enzymes>>>5. Isomerases>>>5.4  Intramolecular transferases>>>5.4.99  Transferring other groups>>>5.4.99.25  tRNA pseudouridine55 synthase!!!Transfer RNA biogenesis>>>Eukaryotic type>>>tRNA modification factors>>>Psudouridine synthases!!!Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Psudouridine synthases			tRNA pseudouridine55 synthase [EC:5.4.99.25]	EPrGT00300000062307						J	COG0130	COG0130	CyCOG_60001048	ko01000!!!ko03016!!!ko03016			K03177	-				gene
43.1	c_000000000001	29453	29546																													intergenic
44	c_000000000001	29547	30294			Coenzyme transport and metabolism	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)	Ubiquinone biosynthesis	Methyltransferase domain-containing protein											H	COG2227	COG2227	CyCOG_60001166									gene
