gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
0	c_000000000001	771	2082			Cell wall/membrane/envelope biogenesis	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain (NlpD) (PDB:2GU1)		Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	Enzymes>>>3. Hydrolases>>>3.4  Acting on peptide bonds (peptidases)>>>3.4.->>>3.4.-.-!!!Peptidases and inhibitors>>>Metallo peptidases>>>Family M23!!!Peptidoglycan biosynthesis and degradation proteins>>>Peptidoglycan biosynthesis and degradation>>>Endopeptidase			murein DD-endopeptidase [EC:3.4.24.-]							M	COG0739		CyCOG_60002109	ko01000!!!ko01002!!!ko01011			K19304					gene
0.1	c_000000000001	2083	2292																													intergenic
1	c_000000000001	2293	4090			Defense mechanisms	ABC-type multidrug transport system, ATPase and permease component (MdlB) (PDB:2HYD)		ATP-binding cassette, subfamily B	Transporters>>>ABC transporters, eukaryotic type>>>ABCB (MDR/TAP) subfamily>>>ABCB-BAC subgroup			ATP-binding cassette, subfamily B, bacterial							V	COG1132		CyCOG_60000733	ko02000			K06147					gene
1.1	c_000000000001	4091	4134																													intergenic
2	c_000000000001	4135	4468			Inorganic ion transport and metabolism	Fe-S cluster assembly protein CyaY, frataxin homolog (CyaY) (PDB:1EKG)	Cobalamine/B12 biosynthesis		KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09193 Unclassified: signaling and cellular processes>>>99994 Others			iron-sulfur cluster assembly protein CyaY							P	COG1965	COG1965		ko00001			K06202					gene
2.1	c_000000000001	4469	4748																													intergenic
3	c_000000000001	4749	4977			Translation, ribosomal structure and biogenesis	Ribosomal protein L31 (RpmE) (PDB:1VS6)	Ribosome 50S subunit		KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Large subunit			large subunit ribosomal protein L31							J	COG0254	COG0254		ko00001!!!ko03011			K02909					gene
3.1	c_000000000001	4978	5203																													intergenic
4	c_000000000001	5204	7004			Signal transduction mechanisms	Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)													T	COG2114											gene
4.1	c_000000000001	7005	7066																													intergenic
5	c_000000000001	7067	7517			Function unknown	Uncharacterized conserved protein, DUF1465 domain (PDB:3CTW)			KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112]			regulator of CtrA degradation							S	COG5317			ko00001			K13592					gene
5.1	c_000000000001	7518	8237																													intergenic
7	c_000000000001	8238	9273			Energy production and conversion!!!General function prediction only	NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)		thioester reductase domain-containing protein	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>1. Oxidoreductases>>>1.6  Acting on NADH or NADPH>>>1.6.5  With a quinone or similar compound as acceptor>>>1.6.5.5  NADPH:quinone reductase			NADPH:quinone reductase [EC:1.6.5.5]							C!!!R	COG0604		CyCOG_60003883	ko00001!!!ko01000			K00344					gene
7.1	c_000000000001	9274	9583																													intergenic
8	c_000000000001	9584	10265			Function unknown	Uncharacterized conserved protein, DUF1013 family			KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown			uncharacterized protein							S	COG3820			ko00001			K09987					gene
8.1	c_000000000001	10266	10432																													intergenic
9	c_000000000001	10433	11243			Transcription!!!Carbohydrate transport and metabolism	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family (GlpR)			Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>DeoR family			DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor							K!!!G	COG1349			ko03000			K02444					gene
10	c_000000000001	11239	12139			Transcription	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		DNA-binding transcriptional regulator, LysR family											K	COG0583		CyCOG_60000237									gene
10.1	c_000000000001	12140	12245																													intergenic
11	c_000000000001	12246	12819			Amino acid transport and metabolism	L-amino acid N-acyltransferase MnaT (MnaT) (PDB:3DR6) (PUBMED:27941785)		L-amino acid N-acyltransferase YncA	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>2. Transferases>>>2.3  Acyltransferases>>>2.3.1  Transferring groups other than aminoacyl groups>>>2.3.1.-			L-amino acid N-acyltransferase [EC:2.3.1.-]							E	COG1247		CyCOG_60026213	ko00001!!!ko01000			K24217					gene
12	c_000000000001	12815	14054			Carbohydrate transport and metabolism	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)													G	COG2814											gene
12.1	c_000000000001	14055	17406																													intergenic
15	c_000000000001	17407	19309			Lipid transport and metabolism	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756)		acetyl-coenzyme A synthetase	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00640 Propanoate metabolism [PATH:ko00640]!!!Enzymes>>>6. Ligases>>>6.2  Forming carbon-sulfur bonds>>>6.2.1  Acid-thiol ligases>>>6.2.1.17  propionate---CoA ligase!!!Lipid biosynthesis proteins>>>Acyl-CoA synthetase>>>Short/medium chain acyl-CoA synthetase			propionyl-CoA synthetase [EC:6.2.1.17]							I	COG0365		CyCOG_60000745	ko00001!!!ko01000!!!ko01004			K01908					gene
15.1	c_000000000001	19310	19752																													intergenic
16	c_000000000001	19753	19918			Function unknown	Uncharacterized conserved protein, DUF465 domain			KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>ABC-2 type and other transporters>>>Capsular polysaccharide transporter			uncharacterized protein							S	COG5570			ko00001!!!ko02000			K09794					gene
16.1	c_000000000001	19919	20032																													intergenic
17	c_000000000001	20033	20651			Coenzyme transport and metabolism	Flavin prenyltransferase UbiX (UbiX) (PDB:1SBZ) (PUBMED:28754323;26083743)	Ubiquinone biosynthesis	4-hydroxy-3-polyprenylbenzoate decarboxylase	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00740 Riboflavin metabolism [PATH:ko00740]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09109 Metabolism of terpenoids and polyketides>>>00900 Terpenoid backbone biosynthesis [PATH:ko00900]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09110 Biosynthesis of other secondary metabolites>>>00940 Phenylpropanoid biosynthesis [PATH:ko00940]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00627 Aminobenzoate degradation [PATH:ko00627]!!!Enzymes>>>2. Transferases>>>2.5  Transferring alkyl or aryl groups, other than methyl groups>>>2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)>>>2.5.1.129  flavin prenyltransferase	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol!!!C5 isoprenoid biosynthesis, mevalonate pathway, archaea	flavin prenyltransferase [EC:2.5.1.129]							H	COG0163	COG0163	CyCOG_60001763	ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000	M00117!!!M00849	M00117!!!M00849	K03186					gene
17.1	c_000000000001	20652	20666																													intergenic
18	c_000000000001	20667	21141			Function unknown	Uncharacterized conserved protein, DUF2390 domain													S	COG5589											gene
18.1	c_000000000001	21142	21186																													intergenic
19	c_000000000001	21187	22294			Carbohydrate transport and metabolism	6-phosphofructokinase (PfkA) (PDB:1KZH)	Glycolysis	6-phosphofructokinase	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00010 Glycolysis / Gluconeogenesis [PATH:ko00010]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00030 Pentose phosphate pathway [PATH:ko00030]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00051 Fructose and mannose metabolism [PATH:ko00051]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00052 Galactose metabolism [PATH:ko00052]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00680 Methane metabolism [PATH:ko00680]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.1  Phosphotransferases with an alcohol group as acceptor>>>2.7.1.11  6-phosphofructokinase!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.1  Phosphotransferases with an alcohol group as acceptor>>>2.7.1.90  diphosphate---fructose-6-phosphate 1-phosphotransferase	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Methane metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Formaldehyde assimilation, ribulose monophosphate pathway	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]							G	COG0205	COG0205	CyCOG_60004289	ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko01000	M00001!!!M00345	M00001!!!M00345	K21071					gene
19.1	c_000000000001	22295	22412																													intergenic
20	c_000000000001	22413	22620			Function unknown	Uncharacterized conserved protein, DUF465 domain			KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown			uncharacterized protein							S	COG5481			ko00001			K09794					gene
20.1	c_000000000001	22621	22694																													intergenic
21	c_000000000001	22695	23538			Signal transduction mechanisms	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)													T	COG2199											gene
21.1	c_000000000001	23539	23801																													intergenic
22	c_000000000001	23802	24303			Nucleotide transport and metabolism	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase (PurE) (PDB:1D7A)	Purine biosynthesis	5-(carboxyamino)imidazole ribonucleotide mutase	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!Enzymes>>>5. Isomerases>>>5.4  Intramolecular transferases>>>5.4.99  Transferring other groups>>>5.4.99.18  5-(carboxyamino)imidazole ribonucleotide mutase	Pathway modules; Nucleotide metabolism; Purine metabolism	De novo purine biosynthesis, PRPP + glutamine => IMP	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]							F	COG0041	COG0041	CyCOG_60000425	ko00001!!!ko01000	M00048	M00048	K01588					gene
22.1	c_000000000001	24304	24400																													intergenic
23	c_000000000001	24401	25496			Nucleotide transport and metabolism	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) (PurK) (PDB:1B6R)	Purine biosynthesis	5-(carboxyamino)imidazole ribonucleotide synthase	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.4  Other carbon-nitrogen ligases>>>6.3.4.18  5-(carboxyamino)imidazole ribonucleotide synthase	Pathway modules; Nucleotide metabolism; Purine metabolism	De novo purine biosynthesis, PRPP + glutamine => IMP	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]							F	COG0026	COG0026	CyCOG_60001002	ko00001!!!ko01000	M00048	M00048	K01589					gene
23.1	c_000000000001	25497	25660																													intergenic
24	c_000000000001	25661	26309			Replication, recombination and repair	Endonuclease YncB, thermonuclease family (YncB)													L	COG1525											gene
24.1	c_000000000001	26310	26406																													intergenic
25	c_000000000001	26407	27103			Coenzyme transport and metabolism	Ubiquinone biosynthesis protein COQ9			KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99987 Cofactor metabolism			ubiquinone biosynthesis protein COQ9							H	COG5590			ko00001			K18587					gene
26	c_000000000001	27104	27707			Translation, ribosomal structure and biogenesis	Peptide deformylase (Def) (PDB:1BS4)		peptide deformylase	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>3. Hydrolases>>>3.5  Acting on carbon-nitrogen bonds, other than peptide bonds>>>3.5.1  In linear amides>>>3.5.1.88  peptide deformylase			peptide deformylase [EC:3.5.1.88]							J	COG0242		CyCOG_60002591	ko00001!!!ko01000			K01462					gene
26.1	c_000000000001	27708	27763																													intergenic
27	c_000000000001	27764	28997			Defense mechanisms	Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)													V	COG1566											gene
27.1	c_000000000001	28998	29802																													intergenic
29	c_000000000001	29803	30007			Translation, ribosomal structure and biogenesis	Ribosomal protein S21 (RpsU) (PDB:4V4H)	Ribosome 30S subunit		KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit			small subunit ribosomal protein S21							J	COG0828	COG0828		ko00001!!!ko03011!!!ko03011			K02970					gene
29.1	c_000000000001	30008	30283																													intergenic
30	c_000000000001	30284	31760			Amino acid transport and metabolism	Predicted histidine transporter YuiF, NhaC family (YuiF) (PUBMED:15135544)			Transporters>>>Other transporters>>>Electrochemical potential-driven transporters [TC:2]			putative amino acid transporter							E	COG2056			ko02000			K07084					gene
30.1	c_000000000001	31761	32445																													intergenic
32	c_000000000001	32446	33844			Energy production and conversion	NAD/NADP transhydrogenase beta subunit (PntB) (PDB:1D4O)		NAD(P) transhydrogenase subunit beta	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.1  proton-translocating NAD(P)+ transhydrogenase			H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]							C	COG1282		CyCOG_60000580	ko00001!!!ko01000			K00325					gene
32.1	c_000000000001	33845	33855																													intergenic
33	c_000000000001	33856	34312			Energy production and conversion	NAD/NADP transhydrogenase alpha subunit (PntA) (PDB:1F8G)		NAD(P) transhydrogenase subunit alpha											C	COG3288		CyCOG_60000739									gene
34	c_000000000001	34304	35465			Energy production and conversion	NAD/NADP transhydrogenase alpha subunit (PntA) (PDB:1F8G)		NAD(P) transhydrogenase subunit alpha	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.1  proton-translocating NAD(P)+ transhydrogenase			H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]							C	COG3288		CyCOG_60000696	ko00001!!!ko01000			K00324					gene
34.1	c_000000000001	35466	36183																													intergenic
35	c_000000000001	36184	37564			Coenzyme transport and metabolism!!!Signal transduction mechanisms	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family (AarF) (PDB:4PED)	Ubiquinone biosynthesis	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family											H!!!T	COG0661	COG0661	CyCOG_60005057									gene
