gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
0	c_000000000001	2	455			Nucleotide transport and metabolism	Deoxyribose-phosphate aldolase (DeoC) (PDB:1J2W)		deoxyribose-phosphate aldolase	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00030 Pentose phosphate pathway [PATH:ko00030]!!!Enzymes>>>4. Lyases>>>4.1  Carbon-carbon lyases>>>4.1.2  Aldehyde-lyases>>>4.1.2.4  deoxyribose-phosphate aldolase			deoxyribose-phosphate aldolase [EC:4.1.2.4]							F	COG0274		CyCOG_60001659	ko00001!!!ko01000			K01619					gene
1	c_000000000001	454	1255		RecO_C	Replication, recombination and repair	Recombinational DNA repair protein RecO (RecF pathway) (RecO) (PDB:1U5K)		DNA replication and repair protein RecO	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03440 Homologous recombination [PATH:ko03440]!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>HR (homologous recombination)>>>RecFOR pathway proteins!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>NHEJ (non-homologous end-joining)>>>SHDIR (short-homology-dependent illegitimate recombination)>>>RecET pathway			DNA repair protein RecO (recombination protein O)						PF02565.15	L	COG1381		CyCOG_60000571	ko00001!!!ko03400!!!ko03400			K03584					gene
1.1	c_000000000001	1256	1370																													intergenic
2	c_000000000001	1371	2646			Cell wall/membrane/envelope biogenesis	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)		Glycosyltransferase involved in cell wall bisynthesis											M	COG0438		CyCOG_60000097									gene
3	c_000000000001	2542	3343			Amino acid transport and metabolism	Pyrroline-5-carboxylate reductase (ProC) (PDB:3GT0) (PUBMED:22125496;26507882)	Proline biosynthesis	pyrroline-5-carboxylate reductase	KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00330 Arginine and proline metabolism [PATH:ko00330]!!!Enzymes>>>1. Oxidoreductases>>>1.5  Acting on the CH-NH group of donors>>>1.5.1  With NAD+ or NADP+ as acceptor>>>1.5.1.2  pyrroline-5-carboxylate reductase	Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism	Proline biosynthesis, glutamate => proline!!!Proline metabolism	pyrroline-5-carboxylate reductase [EC:1.5.1.2]							E	COG0345	COG0345	CyCOG_60000499	ko00001!!!ko01000	M00015!!!M00972	M00015!!!M00972	K00286					gene
3.1	c_000000000001	3344	3395																													intergenic
4	c_000000000001	3396	3972			Cell cycle control, cell division, chromosome partitioning	Cell division protein SepF/YlmF, interacts with FtsZ (SepF) (PDB:3ZIH) (PUBMED:16420366;24218584)		cell division inhibitor SepF	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Inhibitors of FtsZ assembly			cell division inhibitor SepF							D	COG1799		CyCOG_60000492	ko03036			K09772					gene
4.1	c_000000000001	3973	4132																													intergenic
5	c_000000000001	4133	4769			Coenzyme transport and metabolism	Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family (YggS) (PDB:3SY1) (PUBMED:26872910)		hypothetical protein	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99985 Amino acid metabolism			PLP dependent protein							H	COG0325		CyCOG_60000652	ko00001			K06997					gene
5.1	c_000000000001	4770	4785																													intergenic
