gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
0	c_000000000001	0	552			Amino acid transport and metabolism	Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6)	Isoleucine, leucine, valine biosynthesis		KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00650 Butanoate metabolism [PATH:ko00650]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00280 Valine, leucine and isoleucine degradation [PATH:ko00280]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09109 Metabolism of terpenoids and polyketides>>>00907 Pinene, camphor and geraniol degradation [PATH:ko00907]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09141 Transport and catabolism>>>04146 Peroxisome [PATH:ko04146]!!!Enzymes>>>4. Lyases>>>4.1  Carbon-carbon lyases>>>4.1.3  Oxo-acid-lyases>>>4.1.3.4  hydroxymethylglutaryl-CoA lyase	Pathway modules; Lipid metabolism; Lipid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone!!!Leucine degradation, leucine => acetoacetate + acetyl-CoA	hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]							E	COG0119	COG0119		ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000	M00088!!!M00036	M00088!!!M00036	K01640					gene
0.1	c_000000000001	553	739																													intergenic
1	c_000000000001	740	1643			Transcription	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		DNA-binding transcriptional regulator, LysR family											K	COG0583		CyCOG_60000237									gene
1.1	c_000000000001	1644	1892																													intergenic
2	c_000000000001	1893	2670			Amino acid transport and metabolism	5-oxoprolinase subunit A (PxpA) (PDB:1V6T) (PUBMED:28830929)			KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00480 Glutathione metabolism [PATH:ko00480]!!!Enzymes>>>3. Hydrolases>>>3.5  Acting on carbon-nitrogen bonds, other than peptide bonds>>>3.5.2  In cyclic amides>>>3.5.2.9  5-oxoprolinase (ATP-hydrolysing)			5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]							E	COG1540			ko00001!!!ko01000			K07160					gene
2.1	c_000000000001	2671	2685																													intergenic
3	c_000000000001	2686	2929			Lipid transport and metabolism	Biotin carboxyl carrier protein (AccB) (PDB:1A6X)	Fatty acid biosynthesis	biotin carboxyl carrier protein	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00640 Propanoate metabolism [PATH:ko00640]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00280 Valine, leucine and isoleucine degradation [PATH:ko00280]!!!Enzymes>>>6. Ligases>>>6.4  Forming carbon-carbon bonds>>>6.4.1  Ligases that form carbon-carbon bonds (only sub-subclass identified to date)>>>6.4.1.3  propionyl-CoA carboxylase	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Signature modules; Module set; Metabolic capacity	3-Hydroxypropionate bi-cycle!!!Fatty acid biosynthesis, initiation!!!Anoxygenic photosynthesis in green nonsulfur bacteria	acetyl-CoA carboxylase biotin carboxyl carrier protein							I	COG0511	COG0511	CyCOG_60000373	ko00001!!!ko00001!!!ko00001!!!ko01000	M00376!!!M00082!!!M00613	M00376!!!M00082!!!M00613	K02160					gene
4	c_000000000001	2925	4311			Lipid transport and metabolism	Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)		biotin carboxylase	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00620 Pyruvate metabolism [PATH:ko00620]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00640 Propanoate metabolism [PATH:ko00640]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09103 Lipid metabolism>>>00061 Fatty acid biosynthesis [PATH:ko00061]!!!Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.4  Other carbon-nitrogen ligases>>>6.3.4.14  biotin carboxylase!!!Enzymes>>>6. Ligases>>>6.4  Forming carbon-carbon bonds>>>6.4.1  Ligases that form carbon-carbon bonds (only sub-subclass identified to date)>>>6.4.1.2  acetyl-CoA carboxylase	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Signature modules; Module set; Metabolic capacity	3-Hydroxypropionate bi-cycle!!!Fatty acid biosynthesis, initiation!!!Anoxygenic photosynthesis in green nonsulfur bacteria	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]							I	COG4770		CyCOG_60000248	ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko01000	M00376!!!M00082!!!M00613	M00376!!!M00082!!!M00613	K01961					gene
5	c_000000000001	4310	5186			Amino acid transport and metabolism	5-oxoprolinase subunit B/Allophanate hydrolase subunit 1 (PxpB) (PDB:2KWA) (PUBMED:28830929)													E	COG2049											gene
6	c_000000000001	5175	6147			Amino acid transport and metabolism	5-oxoprolinase subunit C/Allophanate hydrolase subunit 2 (PxpC) (PDB:3MML) (PUBMED:28830929)													E	COG1984											gene
6.1	c_000000000001	6148	6170																													intergenic
7	c_000000000001	6171	7176			Transcription	DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)													K	COG1802											gene
7.1	c_000000000001	7177	7752																													intergenic
8	c_000000000001	7753	8830			Amino acid transport and metabolism	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component (PotA) (PDB:1Z47)		iron(III) transport system ATP-binding protein											E	COG3842		CyCOG_60000065									gene
8.1	c_000000000001	8831	8865																													intergenic
9	c_000000000001	8866	9766			Amino acid transport and metabolism	ABC-type spermidine/putrescine transport system, permease component I (PotB)			KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02024 Quorum sensing [PATH:ko02024]!!!Transporters>>>ABC transporters, prokaryotic type>>>Mineral and organic ion transporters>>>Putative spermidine/putrescine transporter			putative spermidine/putrescine transport system permease protein							E	COG1176			ko00001!!!ko02000			K02054					gene
9.1	c_000000000001	9767	9768																													intergenic
10	c_000000000001	9769	10615			Amino acid transport and metabolism	ABC-type spermidine/putrescine transport system, permease component II (PotC)		iron(III) transport system ATP-binding protein	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Saccharide, polyol, and lipid transporters>>>Glycerol transporter			putative spermidine/putrescine transport system permease protein							E	COG1177		CyCOG_60000065	ko00001!!!ko02000			K02053					gene
11	c_000000000001	10614	11352			Lipid transport and metabolism	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	Fatty acid biosynthesis	3-oxoacyl-[acyl-carrier-protein] reductase	KEGG Orthology (KO)>>>09100 Metabolism>>>09103 Lipid metabolism>>>00061 Fatty acid biosynthesis [PATH:ko00061]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00780 Biotin metabolism [PATH:ko00780]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09110 Biosynthesis of other secondary metabolites>>>00333 Prodigiosin biosynthesis [PATH:ko00333]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.100  3-oxoacyl-[acyl-carrier-protein] reductase!!!Lipid biosynthesis proteins>>>Fatty acid synthase>>>Component type	Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	Fatty acid biosynthesis, elongation!!!Fatty acid biosynthesis in mitochondria, fungi!!!Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]							I	COG1028	COG1028	CyCOG_60000043	ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko01004	M00083!!!M00874!!!M00572	M00083!!!M00874!!!M00572	K00059					gene
11.1	c_000000000001	11353	11367																													intergenic
12	c_000000000001	11368	12136			Lipid transport and metabolism	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	Fatty acid biosynthesis	3-oxoacyl-[acyl-carrier-protein] reductase	KEGG Orthology (KO)>>>09100 Metabolism>>>09103 Lipid metabolism>>>00061 Fatty acid biosynthesis [PATH:ko00061]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00780 Biotin metabolism [PATH:ko00780]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09110 Biosynthesis of other secondary metabolites>>>00333 Prodigiosin biosynthesis [PATH:ko00333]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.100  3-oxoacyl-[acyl-carrier-protein] reductase!!!Lipid biosynthesis proteins>>>Fatty acid synthase>>>Component type	Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	Fatty acid biosynthesis, elongation!!!Fatty acid biosynthesis in mitochondria, fungi!!!Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]							I	COG1028	COG1028	CyCOG_60000043	ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko01004	M00083!!!M00874!!!M00572	M00083!!!M00874!!!M00572	K00059					gene
12.1	c_000000000001	12137	12238																													intergenic
13	c_000000000001	12239	13475			Amino acid transport and metabolism	Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)			KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99981 Carbohydrate metabolism			putative spermidine/putrescine transport system substrate-binding protein							E	COG0687			ko00001			K02055					gene
13.1	c_000000000001	13476	13581																													intergenic
14	c_000000000001	13582	14692			Amino acid transport and metabolism	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component (PotA) (PDB:1Z47)		iron(III) transport system ATP-binding protein											E	COG3842		CyCOG_60000065									gene
14.1	c_000000000001	14693	14753																													intergenic
