gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
0	c_000000000001	12	312			Function unknown	Uncharacterized conserved protein, DUF736 family													S	COG5489											gene
221	c_000000000002	105	966			Transcription	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		DNA-binding transcriptional regulator, LysR family	Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>LysR family			LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator							K	COG0583		CyCOG_60000237	ko03000			K04761					gene
0.1	c_000000000001	313	676																													intergenic
1	c_000000000001	677	1682			Replication, recombination and repair	Site-specific recombinase XerD (XerD) (PDB:1A0P)		Site-specific recombinase XerD	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins			integrase/recombinase XerD							L	COG4974		CyCOG_60003332	ko03036			K04763					gene
221.1	c_000000000002	967	1121																													intergenic
222	c_000000000002	1122	1842			Energy production and conversion	Quinol monooxygenase YgiN (YgiN) (PDB:1R6Y) (PUBMED:15613473)													C	COG1359											gene
2	c_000000000001	1678	2599			Replication, recombination and repair	Site-specific recombinase XerD (XerD) (PDB:1A0P)													L	COG4974											gene
222.1	c_000000000002	1843	2122																													intergenic
223	c_000000000002	2123	2687			Transcription	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)		transcriptional regulator, TetR family	Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>TetR/AcrR family			TetR/AcrR family transcriptional regulator, tetracycline repressor protein							K	COG1309		CyCOG_60033008	ko03000			K18476					gene
3	c_000000000001	2592	3801			Replication, recombination and repair	Site-specific recombinase XerD (XerD) (PDB:1A0P)													L	COG4974											gene
224	c_000000000002	2683	3220			Coenzyme transport and metabolism	Dihydrofolate reductase (FolA) (PDB:1DDR)	Folate biosynthesis	Dihydrofolate reductase											H	COG0262	COG0262	CyCOG_60030223									gene
224.1	c_000000000002	3221	3340																													intergenic
225	c_000000000002	3341	4262			Translation, ribosomal structure and biogenesis	Ribosomal protein S24E (RPS24A) (PDB:1XN9)	Archaeal ribosomal proteins												J	COG2004	COG2004										gene
3.1	c_000000000001	3802	4312																													intergenic
225.1	c_000000000002	4263	4585																													intergenic
4	c_000000000001	4313	4613			Function unknown	Uncharacterized conserved protein, DUF736 family													S	COG5489											gene
226	c_000000000002	4586	5651			Mobilome: prophages, transposons	Uncharacterized domain associated with phage/plasmid primase													X	COG4643											gene
4.1	c_000000000001	4614	4706																													intergenic
5	c_000000000001	4707	4902			Function unknown	Uncharacterized conserved protein, DUF736 family													S	COG5489											gene
5.1	c_000000000001	4903	5915																													intergenic
227	c_000000000002	5650	9946			General function prediction only	Predicted RNA methylase (PDB:6H2U)			Chromosome and associated proteins>>>Eukaryotic type>>>Chromatin remodeling factors>>>Other chromatin remodeling factors			protein strawberry notch							R	COG2263			ko03036			K26273					gene
7	c_000000000001	5916	7125			Transcription!!!Replication, recombination and repair!!!Function unknown	Superfamily II DNA or RNA helicase (SSL2) (PDB:6JDE)!!!Uncharacterized conserved protein		hypothetical protein											K!!!L!!!S	COG1061!!!COG4951		CyCOG_60014643									gene
7.1	c_000000000001	7126	7270																													intergenic
8	c_000000000001	7271	7460			Function unknown	Uncharacterized conserved protein, DUF736 family													S	COG5489											gene
8.1	c_000000000001	7461	8189																													intergenic
10	c_000000000001	8190	9132			Replication, recombination and repair	Antirestriction protein ArdC (ArdC) (PUBMED:10686096)		DNA primase											L	COG4227		CyCOG_60017042									gene
10.1	c_000000000001	9133	9953																													intergenic
