gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
0	c_000000000001	353	524						hypothetical protein														CyCOG_60001442									gene
0.1	c_000000000001	525	699																													intergenic
1	c_000000000001	700	1114			Function unknown	Uncharacterized conserved protein, DUF1499 family		Uncharacterized conserved protein, DUF1499 family											S	COG4446		CyCOG_60000036									gene
1.1	c_000000000001	1115	1254																													intergenic
2	c_000000000001	1255	1636						hypothetical protein														CyCOG_60002422									gene
2.1	c_000000000001	1637	2216																													intergenic
3	c_000000000001	2217	2547						hypothetical protein														CyCOG_60001335									gene
3.1	c_000000000001	2548	2568																													intergenic
4	c_000000000001	2569	2818						hypothetical protein														CyCOG_60001470									gene
5	c_000000000001	2817	2958						hypothetical protein														CyCOG_60002421									gene
5.1	c_000000000001	2959	3157																													intergenic
6	c_000000000001	3158	3443						hypothetical protein														CyCOG_60002010									gene
6.1	c_000000000001	3444	4147																													intergenic
7	c_000000000001	4148	4295						hypothetical protein														CyCOG_60002902									gene
7.1	c_000000000001	4296	4315																													intergenic
8	c_000000000001	4316	4493						hypothetical protein														CyCOG_60002098									gene
8.1	c_000000000001	4494	4627																													intergenic
9	c_000000000001	4628	5579			Coenzyme transport and metabolism!!!General function prediction only	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	Menaquinone biosynthesis	proline iminopeptidase	KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00330 Arginine and proline metabolism [PATH:ko00330]!!!Enzymes>>>3. Hydrolases>>>3.4  Acting on peptide bonds (peptidases)>>>3.4.11  Aminopeptidases>>>3.4.11.5  prolyl aminopeptidase!!!Peptidases and inhibitors>>>Serine peptidases>>>Family S33			proline iminopeptidase [EC:3.4.11.5]							H!!!R	COG0596	COG0596	CyCOG_60001404	ko00001!!!ko01000!!!ko01002			K01259					gene
9.1	c_000000000001	5580	5678																													intergenic
10	c_000000000001	5679	5901						hypothetical protein														CyCOG_60001968									gene
10.1	c_000000000001	5902	6842																													intergenic
11	c_000000000001	6843	7008						hypothetical protein														CyCOG_60001653									gene
11.1	c_000000000001	7009	7532																													intergenic
12	c_000000000001	7533	7797						Protein of unknown function (DUF1651)														CyCOG_60002408									gene
12.1	c_000000000001	7798	7798																													intergenic
13	c_000000000001	7799	8015						hypothetical protein														CyCOG_60001378									gene
13.1	c_000000000001	8016	8614																													intergenic
14	c_000000000001	8615	8828						hypothetical protein														CyCOG_60001776									gene
14.1	c_000000000001	8829	9502																													intergenic
15	c_000000000001	9503	9656						hypothetical protein														CyCOG_60002052									gene
15.1	c_000000000001	9657	9681																													intergenic
16	c_000000000001	9682	10483			Energy production and conversion	Phosphoglycolate phosphatase, HAD superfamily (Gph) (PDB:2NYV)		HAD superfamily phosphatase	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99996 General function prediction only			HAD superfamily phosphatase							C	COG0546		CyCOG_60000251	ko00001			K11777					gene
16.1	c_000000000001	10484	10641																													intergenic
17	c_000000000001	10642	10927						hypothetical protein														CyCOG_60001421									gene
17.1	c_000000000001	10928	10981																													intergenic
18	c_000000000001	10982	11165						hypothetical protein														CyCOG_60001925									gene
19	c_000000000001	11157	11364						hypothetical protein														CyCOG_60002397									gene
20	c_000000000001	11363	11576						hypothetical protein														CyCOG_60001974									gene
20.1	c_000000000001	11577	11965																													intergenic
21	c_000000000001	11966	12416						hypothetical protein														CyCOG_60001473									gene
21.1	c_000000000001	12417	12525																													intergenic
22	c_000000000001	12526	12691						hypothetical protein														CyCOG_60001377									gene
22.1	c_000000000001	12692	12931																													intergenic
23	c_000000000001	12932	13277						hypothetical protein														CyCOG_60001213									gene
23.1	c_000000000001	13278	13706																													intergenic
24	c_000000000001	13707	13959						hypothetical protein														CyCOG_60001768									gene
24.1	c_000000000001	13960	14170																													intergenic
