contig	Position	Modification	Total_coverage	Percent_modified	gene_callers_id	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
c_000000000004	4882	6mA	42	0.76	58.0	4359	5397			Amino acid transport and metabolism	Aspartate-semialdehyde dehydrogenase (Asd) (PDB:1BRM)	Lysine biosynthesis	aspartate semialdehyde dehydrogenase	KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00260 Glycine, serine and threonine metabolism [PATH:ko00260]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00270 Cysteine and methionine metabolism [PATH:ko00270]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00300 Lysine biosynthesis [PATH:ko00300]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09110 Biosynthesis of other secondary metabolites>>>00261 Monobactam biosynthesis [PATH:ko00261]!!!Enzymes>>>1. Oxidoreductases>>>1.2  Acting on the aldehyde or oxo group of donors>>>1.2.1  With NAD+ or NADP+ as acceptor>>>1.2.1.11  aspartate-semialdehyde dehydrogenase	Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	Threonine biosynthesis, aspartate => homoserine => threonine!!!Ectoine biosynthesis, aspartate => ectoine!!!Methionine biosynthesis, aspartate => homoserine => methionine!!!Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]							E	COG0136	COG0136	CyCOG_60000158	ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000	M00018!!!M00033!!!M00017!!!M00016!!!M00525!!!M00526!!!M00527	M00018!!!M00033!!!M00017!!!M00016!!!M00525!!!M00526!!!M00527	K00133					gene
c_000000000004	11160	6mA	37	0.81	63.0	10322	12359			Replication, recombination and repair	Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O)		Excinuclease ABC subunit B	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03420 Nucleotide excision repair [PATH:ko03420]!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>NER (nucleotide excision repair)>>>GGR (global genome repair) factors!!!DNA repair and recombination proteins>>>Prokaryotic type>>>DSBR (double strand breaks repair)>>>NHEJ (non-homologous end-joining)>>>SHDIR (short-homology-dependent illegitimate recombination)>>>Supressor			excinuclease ABC subunit B							L	COG0556		CyCOG_60000078	ko00001!!!ko03400!!!ko03400			K03702					gene
c_000000000005	8523	6mA	70	0.73	95.1	8467	8549																													intergenic
c_000000000005	9009	6mA	130	0.69	96.0	8550	9633			Energy production and conversion	Photosystem II reaction center D1, PsbA (PsbA) (PDB:1S5L)	Photosystem II	photosystem II P680 reaction center D1 protein	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]!!!Enzymes>>>1. Oxidoreductases>>>1.10  Acting on diphenols and related substances as donors>>>1.10.3  With oxygen as acceptor>>>1.10.3.9  photosystem II!!!Photosynthesis proteins>>>Photosystem and electron transport system>>>Photosystem II (P680 chlorophyll a) [OT]>>>Main subunits	Pathway modules; Energy metabolism; Photosynthesis!!!Signature modules; Module set; Metabolic capacity	Photosystem II!!!Oxygenic photosynthesis in plants and cyanobacteria	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]							C	COG5716	COG5716	CyCOG_60000032	ko00001!!!ko01000!!!ko00194	M00161!!!M00611	M00161!!!M00611	K02703					gene
c_000000000005	9462	6mA	40	0.72	96.0	8550	9633			Energy production and conversion	Photosystem II reaction center D1, PsbA (PsbA) (PDB:1S5L)	Photosystem II	photosystem II P680 reaction center D1 protein	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]!!!Enzymes>>>1. Oxidoreductases>>>1.10  Acting on diphenols and related substances as donors>>>1.10.3  With oxygen as acceptor>>>1.10.3.9  photosystem II!!!Photosynthesis proteins>>>Photosystem and electron transport system>>>Photosystem II (P680 chlorophyll a) [OT]>>>Main subunits	Pathway modules; Energy metabolism; Photosynthesis!!!Signature modules; Module set; Metabolic capacity	Photosystem II!!!Oxygenic photosynthesis in plants and cyanobacteria	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]							C	COG5716	COG5716	CyCOG_60000032	ko00001!!!ko01000!!!ko00194	M00161!!!M00611	M00161!!!M00611	K02703					gene
c_000000000005	49105	6mA	1414	0.87	134.0	48919	49291			Cell cycle control, cell division, chromosome partitioning!!!Cytoskeleton	Cell shape-determining ATPase MreB, actin-like superfamily (MreB) (PDB:1JCE)		rod shape-determining protein MreB	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins!!!Cytoskeleton proteins>>>Prokaryotic cytoskeleton proteins>>>Actin homologs>>>Actins!!!Prokaryotic defense system>>>Toxin-antitoxin system (TA system)>>>Type II TA system>>>Type II TA system related factors			rod shape-determining protein MreB and related proteins							D!!!Z	COG1077		CyCOG_60000234	ko03036!!!ko04812!!!ko02048			K03569					gene
c_000000000006	749	6mA	1414	0.86	137.0	695	881			Energy production and conversion	NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific subunit S (CRR31) (NdhS) (PDB:6A7K) (PUBMED:30742075;30573545)		Protein of unknown function (DUF3252)	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers			NAD(P)H-quinone oxidoreductase subunit S, chloroplastic [EC:7.1.1.-]							C	COG5790		CyCOG_60001013	ko00001			K00345					gene
c_000000000006	55591	6mA	137	0.72	233.0	54968	56051			Energy production and conversion	Photosystem II reaction center D1, PsbA (PsbA) (PDB:1S5L)	Photosystem II	photosystem II P680 reaction center D1 protein	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]!!!Enzymes>>>1. Oxidoreductases>>>1.10  Acting on diphenols and related substances as donors>>>1.10.3  With oxygen as acceptor>>>1.10.3.9  photosystem II!!!Photosynthesis proteins>>>Photosystem and electron transport system>>>Photosystem II (P680 chlorophyll a) [OT]>>>Main subunits	Pathway modules; Energy metabolism; Photosynthesis!!!Signature modules; Module set; Metabolic capacity	Photosystem II!!!Oxygenic photosynthesis in plants and cyanobacteria	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]							C	COG5716	COG5716	CyCOG_60000032	ko00001!!!ko01000!!!ko00194	M00161!!!M00611	M00161!!!M00611	K02703					gene
c_000000000006	56077	6mA	69	0.7	233.1	56052	56255																													intergenic
c_000000000011	59831	6mA	470	0.79	438.0	59012	60143			Posttranslational modification, protein turnover, chaperones	DnaJ-class molecular chaperone with C-terminal Zn finger domain (DnaJ) (PDB:1BQ0)		molecular chaperone DnaJ	Chaperones and folding catalysts>>>Heat shock proteins>>>HSP40 / DNAJ!!!Mitochondrial biogenesis>>>Mitochondrial protein import machinery>>>Matrix>>>Other matrix factors			molecular chaperone DnaJ							O	COG0484		CyCOG_60000064	ko03110!!!ko03029			K03686					gene
